Age,Sex,Breed,Image
5 Years8 Months,Female,"['Hound, Plott ', ' Terrier, American Staffordshire']",dog_images/20231129110855.jpg
3 Years0 Months,Female,['Mixed Breed (Small)'],dog_images/20231004163817.jpg
11 Years8 Months,Male,"['Terrier, Pit Bull ', ' Mix']",dog_images/20240123175322.jpg
9 Years0 Months,Male,"['Shepherd, German ', ' Mix']",dog_images/20231206073515.jpg
8 Years8 Months,Male,"['Bulldog, American ', ' Mix']",dog_images/20230211113550.jpg
9 Years1 Months,Female,['Mixed Breed (Medium)'],dog_images/20231228183902.jpg
8 Years10 Months,Female,"['Retriever ', ' Mix']",dog_images/20230919145347_0.jpg
8 Years3 Months,Male,"['Retriever, Labrador ', ' Mix']",dog_images/20231122225050.jpg
8 Years0 Months,Female,"['Coonhound, Bluetick ', ' Mix']",dog_images/20231206075249.jpg
8 Years9 Months,Male,"['Boxer ', ' Mix']",dog_images/20231023194400.jpg
9 Years8 Months,Female,"['Cattle Dog, Australian (Blue Heeler) ', ' Mix']",dog_images/20230712150405.jpg
8 Years7 Months,Male,"['Hound ', ' Great Dane']",dog_images/20240124072556.jpg
8 Years2 Months,Male,"['Mixed Breed (Large) ', ' Great Dane']",dog_images/20221214112759.jpg
7 Years1 Months,Male,"['Catahoula Leopard Dog ', ' Mix']",dog_images/20230929090904.jpg
8 Years11 Months,Female,"['Terrier, Pit Bull']",dog_images/20240117072830.jpg
7 Years4 Months,Male,"['Chihuahua, Short Coat ', ' Dachshund, Miniature Smooth Haired']",dog_images/20240120103848.jpg
6 Years5 Months,Female,['Mixed Breed (Medium)'],dog_images/20240108191252.jpg
6 Years3 Months,Male,"['Terrier, Pit Bull ', ' Mix']",dog_images/20240121153431.jpg
6 Years2 Months,Male,"['Terrier, Pit Bull']",dog_images/20231216094551.jpg
9 Years8 Months,Male,"['Terrier, Pit Bull ', ' Mix']",dog_images/20171202214224.jpg
5 Years11 Months,Female,['Mixed Breed (Medium)'],dog_images/20240118111257.jpg
9 Years9 Months,Male,"['Terrier, Pit Bull ', ' Mix']",dog_images/20240112035726.jpg
5 Years9 Months,Female,"['Basenji ', ' Malinois, Belgian']",dog_images/20231205152406.jpg
8 Years6 Months,Male,"['Mastiff, Neapolitan ', ' Pinscher, Doberman']",dog_images/20221212223040.jpg
6 Years6 Months,Male,"['Terrier, Wirehaired ', ' Mix']",dog_images/20231031143319.jpg
6 Years6 Months,Male,"['Terrier, Pit Bull ', ' Mix']",dog_images/20181101234255.jpg
5 Years11 Months,Female,"['Retriever, Black Labrador ', ' Mix']",dog_images/20201022203646.jpg
8 Years8 Months,Female,"['Chihuahua ', ' Mix']",dog_images/20240108085530.jpg
7 Years5 Months,Female,"['Terrier, Pit Bull ', ' Mix']",dog_images/20230805060329.jpg
5 Years2 Months,Female,"['Retriever, Labrador ', ' Beagle']",dog_images/20240118082533.jpg
5 Years0 Months,Male,['Cattle Dog'],dog_images/20221207095758.jpg
5 Years1 Months,Male,"['Shepherd ', ' Mix']",dog_images/20231119085246.jpg
6 Years11 Months,Male,['Mixed Breed (Medium)'],dog_images/20240110133020.jpg
7 Years4 Months,Male,"['Cattle Dog ', ' Mix']",dog_images/20240117210839.jpg
8 Years1 Months,Male,"['Shepherd ', ' Retriever, Labrador']",dog_images/20221212222003.jpg
5 Years2 Months,Male,['Black Mouth Cur'],dog_images/20240108184026.jpg
11 Years9 Months,Male,['Blue Lacy'],dog_images/20240114210414.jpg
6 Years1 Months,Male,"['Collie, Border ', ' Saint Bernard']",dog_images/20230903055730.jpg
4 Years0 Months,Female,"['Shepherd, German']",dog_images/20230214060525.jpg
5 Years11 Months,Male,"['Terrier, American Staffordshire ', ' Mix']",dog_images/20220509135854.jpg
4 Years11 Months,Female,"['Terrier, Pit Bull ', ' Mix']",dog_images/20231206075415.jpg
4 Years1 Months,Male,"['American Blue Heeler ', ' Retriever, Black Labrador']",dog_images/20240109165853.jpg
4 Years2 Months,Male,"['Black Mouth Cur ', ' Mix']",dog_images/20231221091428.jpg
3 Years10 Months,Male,"['Retriever, Labrador ', ' Mix']",dog_images/20231106134659.jpg
3 Years10 Months,Female,"['Husky, Siberian ', ' Mix']",dog_images/20240118180903.jpg
3 Years9 Months,Female,"['Hound, Plott ', ' Mix']",dog_images/20240117080910.jpg
